benchmark,filename,accuracy,rougeL,score,f1,rouge1,rouge2,rougeLsum,correct,total,exact,HasAns_exact,HasAns_f1,HasAns_total,NoAns_exact,NoAns_f1,NoAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh,counts,totals,precisions,bp,sys_len,ref_len
cnn_dm,sampling_gemma1B_t1-gemma-1B-cnn_dm.csv,,0.17974860445563853,,,0.2805959053483265,0.08168783689709808,0.24418671337406628,,,,,,,,,,,,,,,,,,,
gsm8k,sampling_gemma1B_t1-gemma-1B-gsm8k.csv,0.24,,,,,,,72.0,300.0,,,,,,,,,,,,,,,,,
mbpp,sampling_gemma1B_t1-gemma-1B-mbpp.csv,0.14,,,,,,,42.0,300.0,,,,,,,,,,,,,,,,,
squad_2,sampling_gemma1B_t1-gemma-1B-squad_2.csv,,,,30.229529265436792,,,,,321.0,23.052959501557634,26.666666666666668,40.62835693457703,165.0,19.23076923076923,19.23076923076923,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,sampling_gemma1B_t1-gemma-1B-wmt_de_en.csv,,,31.841262277709617,,,,,,,,,,,,,,,,,,"[4082, 2413, 1561, 1034]","[6604, 6313, 6022, 5732]","[61.811023622047244, 38.22271503247268, 25.921620724011955, 18.039078855547803]",0.9821419961084797,6604.0,6723.0
cnn_dm,sampling_gemma270m_t1-gemma-270m-cnn_dm.csv,,0.08943028734900316,,,0.12994225935582795,0.0190028163317713,0.11437762314100339,,,,,,,,,,,,,,,,,,,
gsm8k,sampling_gemma270m_t1-gemma-270m-gsm8k.csv,0.023333333333333334,,,,,,,7.0,300.0,,,,,,,,,,,,,,,,,
mbpp,sampling_gemma270m_t1-gemma-270m-mbpp.csv,0.013333333333333334,,,,,,,4.0,300.0,,,,,,,,,,,,,,,,,
squad_2,sampling_gemma270m_t1-gemma-270m-squad_2.csv,,,,7.558248259182839,,,,,321.0,5.607476635514018,0.6060606060606061,4.401198128470856,165.0,10.897435897435898,10.897435897435898,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,sampling_gemma270m_t1-gemma-270m-wmt_de_en.csv,,,3.53694480004086,,,,,,,,,,,,,,,,,,"[1101, 408, 207, 111]","[3200, 3063, 2932, 2807]","[34.40625, 13.320274240940254, 7.060027285129604, 3.954399714998219]",0.33255916329264834,3200.0,6723.0
cnn_dm,sampling_qwen0.6B_t1-qwen-0.6B-cnn_dm.csv,,0.14285550056822427,,,0.2171841105577594,0.0633300972472624,0.18564082212232141,,,,,,,,,,,,,,,,,,,
gsm8k,sampling_qwen0.6B_t1-qwen-0.6B-gsm8k.csv,0.30666666666666664,,,,,,,92.0,300.0,,,,,,,,,,,,,,,,,
mbpp,sampling_qwen0.6B_t1-qwen-0.6B-mbpp.csv,0.08666666666666667,,,,,,,26.0,300.0,,,,,,,,,,,,,,,,,
squad_2,sampling_qwen0.6B_t1-qwen-0.6B-squad_2.csv,,,,18.947884838194724,,,,,321.0,13.08411214953271,11.515151515151516,22.922854745821255,165.0,14.743589743589743,14.743589743589743,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,sampling_qwen0.6B_t1-qwen-0.6B-wmt_de_en.csv,,,20.935887205434742,,,,,,,,,,,,,,,,,,"[3347, 1673, 973, 582]","[6792, 6518, 6244, 5971]","[49.27856301531213, 25.66738263270942, 15.582959641255606, 9.747111036677273]",1.0,6792.0,6723.0
cnn_dm,sampling_qwen1.7B_t1-qwen-1.7B-cnn_dm.csv,,0.16178675179154733,,,0.2513557101548819,0.07813419950375397,0.21563792967196244,,,,,,,,,,,,,,,,,,,
gsm8k,sampling_qwen1.7B_t1-qwen-1.7B-gsm8k.csv,0.68,,,,,,,204.0,300.0,,,,,,,,,,,,,,,,,
mbpp,sampling_qwen1.7B_t1-qwen-1.7B-mbpp.csv,0.39,,,,,,,117.0,300.0,,,,,,,,,,,,,,,,,
squad_2,sampling_qwen1.7B_t1-qwen-1.7B-squad_2.csv,,,,12.830181241396197,,,,,321.0,8.411214953271028,10.303030303030303,18.89992835447381,165.0,6.410256410256411,6.410256410256411,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,sampling_qwen1.7B_t1-qwen-1.7B-wmt_de_en.csv,,,26.850847810905247,,,,,,,,,,,,,,,,,,"[4007, 2275, 1463, 978]","[7526, 7232, 6938, 6645]","[53.242094073877226, 31.45741150442478, 21.08676852118766, 14.717832957110609]",1.0,7526.0,6723.0
cnn_dm,spec_gemma1b_assist270m_gamma5-gemma-1b-cnn_dm.csv,,0.17507976662356708,,,0.2692413609152556,0.07566407533519742,0.23313324519206205,,,,,,,,,,,,,,,,,,,
gsm8k,spec_gemma1b_assist270m_gamma5-gemma-1b-gsm8k.csv,0.21666666666666667,,,,,,,65.0,300.0,,,,,,,,,,,,,,,,,
mbpp,spec_gemma1b_assist270m_gamma5-gemma-1b-mbpp.csv,0.17,,,,,,,51.0,300.0,,,,,,,,,,,,,,,,,
squad_2,spec_gemma1b_assist270m_gamma5-gemma-1b-squad_2.csv,,,,20.984431483693655,,,,,321.0,13.707165109034268,20.0,34.157590947064634,165.0,7.051282051282051,7.051282051282051,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,spec_gemma1b_assist270m_gamma5-gemma-1b-wmt_de_en.csv,,,32.18231957123404,,,,,,,,,,,,,,,,,,"[4152, 2473, 1581, 1063]","[6785, 6489, 6194, 5899]","[61.193809874723655, 38.11064879026044, 25.5247013238618, 18.020003390405154]",1.0,6785.0,6723.0
cnn_dm,spec_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-cnn_dm.csv,,0.16343428874349608,,,0.2505636473751673,0.07844692429145952,0.2166320573074719,,,,,,,,,,,,,,,,,,,
gsm8k,spec_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-gsm8k.csv,0.68,,,,,,,204.0,300.0,,,,,,,,,,,,,,,,,
mbpp,spec_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-mbpp.csv,0.38,,,,,,,114.0,300.0,,,,,,,,,,,,,,,,,
squad_2,spec_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-squad_2.csv,,,,12.173278434960679,,,,,321.0,8.09968847352025,13.333333333333334,21.258317440135624,165.0,2.5641025641025643,2.5641025641025643,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,spec_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-wmt_de_en.csv,,,25.18939203115625,,,,,,,,,,,,,,,,,,"[3922, 2219, 1434, 971]","[7855, 7561, 7267, 6974]","[49.92998090388288, 29.347969845258564, 19.733039768817942, 13.923143102953828]",1.0,7855.0,6723.0
cnn_dm,speccasc_gemma1b_assist270m_gamma5-gemma-1b-cnn_dm.csv,,0.1973850996069106,,,0.29429323345959485,0.11578051691748784,0.25611682775016764,,,,,,,,,,,,,,,,,,,
gsm8k,speccasc_gemma1b_assist270m_gamma5-gemma-1b-gsm8k.csv,0.04666666666666667,,,,,,,14.0,300.0,,,,,,,,,,,,,,,,,
mbpp,speccasc_gemma1b_assist270m_gamma5-gemma-1b-mbpp.csv,0.05,,,,,,,15.0,300.0,,,,,,,,,,,,,,,,,
squad_2,speccasc_gemma1b_assist270m_gamma5-gemma-1b-squad_2.csv,,,,9.235771151659002,,,,,321.0,6.230529595015576,5.454545454545454,11.3011063011063,165.0,7.051282051282051,7.051282051282051,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,speccasc_gemma1b_assist270m_gamma5-gemma-1b-wmt_de_en.csv,,,18.072509593258456,,,,,,,,,,,,,,,,,,"[2554, 1419, 904, 586]","[5645, 5471, 5297, 5125]","[45.24357838795394, 25.9367574483641, 17.06626392297527, 11.434146341463414]",0.8261611264394412,5645.0,6723.0
cnn_dm,speccasc_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-cnn_dm.csv,,0.15902337956845872,,,0.23815652684666405,0.07975515250108854,0.20544485341157448,,,,,,,,,,,,,,,,,,,
gsm8k,speccasc_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-gsm8k.csv,0.47333333333333333,,,,,,,142.0,300.0,,,,,,,,,,,,,,,,,
mbpp,speccasc_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-mbpp.csv,0.30666666666666664,,,,,,,92.0,300.0,,,,,,,,,,,,,,,,,
squad_2,speccasc_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-squad_2.csv,,,,21.8379955836916,,,,,321.0,16.1993769470405,23.636363636363637,34.60603989312123,165.0,8.333333333333334,8.333333333333334,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
wmt_de_en,speccasc_qwen1.7b_assist0.6b_gamma5-qwen-1.7b-wmt_de_en.csv,,,29.24699584451835,,,,,,,,,,,,,,,,,,"[3928, 2240, 1433, 961]","[6796, 6523, 6250, 5977]","[57.798705120659214, 34.34002759466503, 22.928, 16.078300150577213]",1.0,6796.0,6723.0
cnn_dm,specensmb_gemma270m_gamma5-gemma-270m-cnn_dm.csv,,0.09488978717219451,,,0.13258002472120284,0.02245978439515077,0.11946428987000762,,,,,,,,,,,,,,,,,,,
gsm8k,specensmb_gemma270m_gamma5-gemma-270m-gsm8k.csv,0.02,,,,,,,6.0,300.0,,,,,,,,,,,,,,,,,
mbpp,specensmb_gemma270m_gamma5-gemma-270m-mbpp.csv,0.023333333333333334,,,,,,,7.0,300.0,,,,,,,,,,,,,,,,,
squad_2,specensmb_gemma270m_gamma5-gemma-270m-squad_2.csv,,,,3.71877975291222,,,,,321.0,2.4922118380062304,1.2121212121212122,3.5983533374837724,165.0,3.8461538461538463,3.8461538461538463,156.0,48.598130841121495,0.0,48.598130841121495,0.0,,,,,,
